Hour,Scaled Value
0,0.6605907515877084
1,0.641598932236583
2,0.6349534561141437
3,0.6345689745528449
4,0.6783335372870678
5,0.7701881404923882
6,0.8488835115866523
7,0.9006938835617141
8,0.9309408796390107
9,0.9620854054327318
10,0.9755602548923865
11,0.9800060711047464
12,0.9817383904253126
13,0.982505536139007
14,0.9801482306971167
15,0.9734199266281244
16,0.9475398098037606
17,0.9154947816510624
18,0.8756068056783899
19,0.8245446202603086
20,0.7709764356912219
21,0.7433947519487915
22,0.7196512076266579
23,0.7063215281969409
