Hour,Scaled Value
0,0.7095579894143541
1,0.655832478822156
2,0.6342585868981696
3,0.6305047851927219
4,0.6349376925965047
5,0.6940710592117048
6,0.807021874354552
7,0.90007989469568
8,0.9538496141514001
9,0.9738744265713112
10,0.9904338725516447
11,0.989906805071799
12,0.9832189195329205
13,0.977066871667742
14,0.9719421985793767
15,0.9673466054068337
16,0.9632708411733865
17,0.9445445376086511
18,0.9132165034998049
19,0.8727740593375669
20,0.8249361752240286
21,0.7716621457420425
22,0.7464039928618064
23,0.7233588986642093
