Hour,Scaled Value
0,0.7126643884173889
1,0.6562420262800543
2,0.6356859357526135
3,0.6323495853882917
4,0.6373281950493062
5,0.698923679503225
6,0.8182673602121405
7,0.9164294000892593
8,0.968160465553244
9,0.9853971545694543
10,1.0
11,0.9976025426591091
12,0.9884988295976207
13,0.9801165244957704
14,0.9728983920902783
15,0.9671834005344552
16,0.9642137469855838
17,0.946021599104051
18,0.9207004363723387
19,0.8819981895129081
20,0.8327959993035325
21,0.7783980881287761
22,0.7513773704208481
23,0.726917079188773
