Hour,Scaled Value
0,0.632009658609524
1,0.6136249458850811
2,0.6079811515242332
3,0.6089045084223486
4,0.6570122279874188
5,0.753100140183372
6,0.8267077110463091
7,0.8687007447039875
8,0.8901907845713533
9,0.9121074119999508
10,0.9192682798500917
11,0.9210222733016697
12,0.9203983576945363
13,0.9188469190200702
14,0.9158742061366864
15,0.9078802360535289
16,0.8845800369293914
17,0.8541562412604976
18,0.8198762850869397
19,0.7760783167556712
20,0.7320105736951501
21,0.7092025205579129
22,0.6895946096127509
23,0.6786342434219576
