Hour,Scaled Value
0,0.6994135881924076
1,0.6483644375302968
2,0.6296683309080852
3,0.6277621853245208
4,0.639797641536083
5,0.7072548733589968
6,0.8228105805107097
7,0.9078045244050251
8,0.9499333813824843
9,0.9659756016304013
10,0.9772505638875406
11,0.9739162803179344
12,0.9664360573915516
13,0.9598384362590741
14,0.953989230104587
15,0.9492322695097559
16,0.9424853087136951
17,0.9216195651718352
18,0.8976604524284852
19,0.8630926617404033
20,0.8163061802239592
21,0.7661735117497246
22,0.7387607459065654
23,0.7153988733686516
