Hour,Scaled Value
0,0.6566406067295883
1,0.6371414924030301
2,0.6297780387822968
3,0.6299886731581211
4,0.6759915346666526
5,0.7775629632941514
6,0.8626453830891824
7,0.9101635777639193
8,0.9335186939150405
9,0.9572232323989233
10,0.9650529732142041
11,0.9680020451469391
12,0.9687631151632036
13,0.9674407739398754
14,0.9641706484808449
15,0.9580178518913369
16,0.9327331091373923
17,0.8998583514705908
18,0.8616024408594318
19,0.8138734217814221
20,0.7600199520588985
21,0.7316047743936579
22,0.7104813889184561
23,0.7014092511389762
