Hour,Scaled Value
0,0.7066710252792607
1,0.6536515944718626
2,0.6327174858412538
3,0.6292577242933246
4,0.630935899961523
5,0.6885804552026392
6,0.8028922301570115
7,0.8993922144763462
8,0.9536380231134393
9,0.9758267216668491
10,0.9948672110351287
11,0.9949458769038956
12,0.990198329078739
13,0.9847314422695838
14,0.9820594219377502
15,0.9772974610659199
16,0.9751730376240397
17,0.9538207014895841
18,0.9187019860089988
19,0.877558232642566
20,0.8274158456866966
21,0.7722042977981576
22,0.742288829250143
23,0.7192465564288937
