Hour,Scaled Value
0,0.6716465596140805
1,0.6516127753595143
2,0.6452603559223522
3,0.6452773662797815
4,0.6874098718606798
5,0.7760050801541774
6,0.8493349567779214
7,0.898239210205122
8,0.9295837527774737
9,0.9592631395417659
10,0.9725461548683971
11,0.9777012693301571
12,0.979494744980449
13,0.9797194360253675
14,0.9771407966159746
15,0.9704546997491301
16,0.9473469021089934
17,0.9149287056882615
18,0.8772657579247503
19,0.8281008478782976
20,0.7763789132964505
21,0.7498665178403524
22,0.7255562229383886
23,0.7126436653462697
