Hour,std
0,0.016786254454129346
1,0.015967650233195484
2,0.014891757717990785
3,0.015604770730757462
4,0.015358167123499683
5,0.01831023540247959
6,0.025258258446909165
7,0.031913908959044474
8,0.03619729374929923
9,0.037924710892380385
10,0.038945482606944845
11,0.039267623585794435
12,0.039852625999928136
13,0.04059622026891541
14,0.03867097681348623
15,0.03814458172481392
16,0.036794468450100884
17,0.03368842258308473
18,0.029434982372908373
19,0.023781629625293198
20,0.02202268146565024
21,0.02136128014171653
22,0.019680628798574382
23,0.01821708233108405
