Hour,Scaled Value
0,0.4799245981448115
1,0.4661268856454751
2,0.46129889274688063
3,0.4610195637396899
4,0.4928148774535493
5,0.5595479999278069
6,0.616720832362257
7,0.6543614924685367
8,0.676336183156523
9,0.6989629365436052
10,0.7087525251753617
11,0.7119824471111659
12,0.7132409913032894
13,0.7137983289551995
14,0.7120857272207902
15,0.7071975591398016
16,0.6883954420392803
17,0.6651144663039109
18,0.6361355246619266
19,0.5990384282247313
20,0.5601207028541051
21,0.5400823834340585
22,0.522832503777182
23,0.5131483823626292
