Hour,std
0,0.013796036981396193
1,0.013493535621868539
2,0.012402241478924656
3,0.012110059594361688
4,0.010588148296058475
5,0.012780201920181583
6,0.018159522465781765
7,0.02442057726709852
8,0.027910498945977715
9,0.030441422142704806
10,0.03269332549797447
11,0.03282585640160299
12,0.03416295801310552
13,0.033834359830007356
14,0.03298971689880193
15,0.03222869609461323
16,0.03043446028149187
17,0.02848490648974804
18,0.02518113999877611
19,0.019969777940254323
20,0.017475522981731027
21,0.015696169353279697
22,0.014337873002577436
23,0.014051500161015562
