Hour,Scaled Value
0,0.5177565223268518
1,0.4767652135474615
2,0.4618310452108639
3,0.4594071593117364
4,0.4630241600571139
5,0.5077737846212371
6,0.5944779473236185
7,0.6657934742635172
8,0.7033765175391532
9,0.7158991134573819
10,0.7265082004120226
11,0.7247664279937274
12,0.718152505800358
13,0.7120626924055081
14,0.7068186600212584
15,0.7026666717906674
16,0.7005091941350298
17,0.687292449515988
18,0.6688964171474316
19,0.6407789174296848
20,0.6050331227643414
21,0.5655125942105961
22,0.5458818212147679
23,0.5281112190501992
