Hour,std
0,0.011124914012804531
1,0.010076143497157677
2,0.009283547507650838
3,0.009624128500640709
4,0.00880802032759141
5,0.012860585005812103
6,0.020335123910869717
7,0.027624904174979762
8,0.03127108564434323
9,0.032813756748800674
10,0.03396497158595459
11,0.0336092841261159
12,0.033966247485512385
13,0.032749542659420046
14,0.030725732866512694
15,0.02931581378583537
16,0.02643464985165123
17,0.025336423744113285
18,0.023711497592626175
19,0.020274321686750106
20,0.018605444603871677
21,0.01582983463104239
22,0.01356696374219284
23,0.011178712821293119
