Hour,std
0,0.008633044115712784
1,0.00909811772400985
2,0.007722167452682032
3,0.007985340088305124
4,0.007930313630992765
5,0.012268465442884322
6,0.01882109913581832
7,0.02372798131418611
8,0.024832564307184182
9,0.02522548499834097
10,0.02589752707969266
11,0.024283782264853313
12,0.024405639994307955
13,0.023454670313641998
14,0.021022811456601825
15,0.020393784843598876
16,0.016059014753025885
17,0.013429280802128999
18,0.011147276181573934
19,0.008766050485528589
20,0.008840967663421512
21,0.008271677803626401
22,0.009198560100103115
23,0.008393285127920402
