Hour,std
0,0.018263426477438192
1,0.014732041821973175
2,0.013797509122609873
3,0.014295363360122227
4,0.016416688981935212
5,0.017378740898938535
6,0.021264148709977466
7,0.028539894256265973
8,0.03422896595382362
9,0.03733088006473927
10,0.03957687913245088
11,0.0414477571265728
12,0.04243460875747498
13,0.04243997839894425
14,0.04063520851161679
15,0.038809312453359945
16,0.03764287036442
17,0.03675132369329917
18,0.03509425389800797
19,0.03139566454762631
20,0.02739705014702214
21,0.0257991158953974
22,0.024711213739067196
23,0.021640654252036637
