Hour,Scaled Value
0,0.4699956651802267
1,0.45377576467698205
2,0.4494010155929342
3,0.450029637814989
4,0.4824908668765723
5,0.5557145042130022
6,0.6232689341373313
7,0.6645776058711477
8,0.6825747905834777
9,0.6952568199340077
10,0.6962417903297043
11,0.6935182228443318
12,0.6901820095370192
13,0.6873979980127622
14,0.6833379979512711
15,0.6793958473712344
16,0.6650984642181235
17,0.6454857895703582
18,0.6213055143970921
19,0.5875339576936403
20,0.547510891844463
21,0.5254084008113795
22,0.509736042581797
23,0.5022089105508487
