Hour,Scaled Value
0,0.5081297073013816
1,0.47104208072128917
2,0.45745920594447487
3,0.4560743755468361
4,0.4648182331802359
5,0.5138264652766776
6,0.5977786341268073
7,0.6595274313513868
8,0.6901343914194962
9,0.7017891959824236
10,0.7099805485215716
11,0.7075581641657536
12,0.7021237208688264
13,0.6973304950128697
14,0.6930809987757344
15,0.6896250278945527
16,0.6847233055483561
17,0.6695641717575007
18,0.6521576798748608
19,0.627043896469843
20,0.5930531339797207
21,0.556631339224652
22,0.5367157400436222
23,0.5197431480678475
