Hour,std
0,0.01787127897522891
1,0.01730676864149085
2,0.017126297894224884
3,0.01828472493227177
4,0.01945631097849744
5,0.02576766661020943
6,0.035247725889577294
7,0.04322490516458476
8,0.047553130680713866
9,0.050596014139229595
10,0.05239428397344622
11,0.05242836550794919
12,0.05287943165120328
13,0.051486134086727676
14,0.05007369786593321
15,0.04863447929802629
16,0.045726951086528446
17,0.04149607208569276
18,0.03754374085312037
19,0.03187825931324945
20,0.025777459394410708
21,0.023043828899405185
22,0.02215142836456006
23,0.019934985201975917
