Hour,Scaled Value
0,0.4847381974857099
1,0.4713145319755556
2,0.46655866817476743
3,0.4667087095637017
4,0.49792563040328114
5,0.5655116424846713
6,0.6193778781412309
7,0.6535773920303555
8,0.6754184910385456
9,0.6967324639277045
10,0.7066205500218412
11,0.710645751070756
12,0.7125105803969669
13,0.7127768760612576
14,0.7105159389117264
15,0.7056640367699627
16,0.6878968792254619
17,0.663975859671824
18,0.6363619862744407
19,0.6010479227246834
20,0.5634877445383117
21,0.541472284580664
22,0.5238321067841187
23,0.5160346788960108
