Hour,Scaled Value
0,0.5134022948589546
1,0.47488324359620204
2,0.4596744420077486
3,0.4571608968717079
4,0.45838010525638595
5,0.5002593473481607
6,0.5833077892561659
7,0.6534158192037941
8,0.6928258440166235
9,0.7089461154721463
10,0.7227791871380592
11,0.7228363385368111
12,0.7193872061099863
13,0.7154154680124107
14,0.713474223329666
15,0.71001461970624
16,0.7084712086545667
17,0.6929585613549308
18,0.6674445265703488
19,0.6375532523539056
20,0.6011243970422336
21,0.561012754743769
22,0.5392789215244684
23,0.5225385213636998
