Hour,Scaled Value
0,0.459160199719422
1,0.44580355516289505
2,0.44170329227829985
3,0.4423741186366877
4,0.4773247714038331
5,0.5471334275746635
6,0.6006099314189964
7,0.6311182147314777
8,0.6467309049223003
9,0.6626535144745516
10,0.6678559436897458
11,0.6691302343157862
12,0.6686769545108385
13,0.6675498215914026
14,0.6653901213041539
15,0.6595824364848916
16,0.6426546507499726
17,0.6205515137088614
18,0.595646844439007
19,0.5638272612849543
20,0.5318116845778358
21,0.5152414469381997
22,0.5009961388435908
23,0.49303334292646084
