Hour,Scaled Value
0,0.5077776397243331
1,0.46858651387326156
2,0.4534223078961948
3,0.4502263882087314
4,0.4527982486376089
5,0.49564075876247754
6,0.5738156750095972
7,0.6350025696149836
8,0.6690826407799162
9,0.682245865888833
10,0.6952524327428443
11,0.6952531148498718
12,0.6910479016690854
13,0.6868608076478678
14,0.6843806679631478
15,0.6815098915741975
16,0.68066913492555
17,0.6660266140152655
18,0.644200820350262
19,0.6176450327482537
20,0.5853445367498694
21,0.5489847964622578
22,0.5301671893486639
23,0.5146583518156463
