Hour,std
0,0.01708881283957717
1,0.015908342795369203
2,0.014685439182490323
3,0.014887601241171404
4,0.0166169123423397
5,0.019724322150235372
6,0.025431982956223998
7,0.030973119967242887
8,0.03642833382198485
9,0.03929264946544478
10,0.040818496693041044
11,0.041102096789479965
12,0.04069905460217768
13,0.039424402183905215
14,0.03892803593403486
15,0.038287144794412684
16,0.036644894835044524
17,0.034759791957787375
18,0.03419005893987875
19,0.031602693941597745
20,0.02744702779192819
21,0.0256538306390156
22,0.023875418480657367
23,0.020511884020614077
