Hour,std
0,0.013033831921680625
1,0.012434535742490874
2,0.011530457207289053
3,0.011243201353857011
4,0.014285839035967801
5,0.01723369584676949
6,0.021643936198330018
7,0.025745731954589204
8,0.027829124310579188
9,0.02896214513588079
10,0.029572093098631888
11,0.029140215022426214
12,0.029116424959014273
13,0.027420278752697095
14,0.025577216998953916
15,0.024773526624225484
16,0.02326468880002214
17,0.02097276227070837
18,0.019162409377902742
19,0.01547882596641517
20,0.013605151235471744
21,0.013953900085801758
22,0.01393490283951535
23,0.01394111920901318
