Hour,std
0,0.012965162483404659
1,0.012361527644696063
2,0.011722095605307348
3,0.011525262382638814
4,0.011946517620056515
5,0.01429331474204694
6,0.019897732551562845
7,0.02514398493782165
8,0.029647211207989476
9,0.03064737963967315
10,0.03158220324218073
11,0.033027674143508275
12,0.03313444714391336
13,0.033160624598891006
14,0.03154557099583175
15,0.029976487110429908
16,0.029792112844970214
17,0.028685817358965412
18,0.02700709133161645
19,0.023772200536524155
20,0.019398125433405387
21,0.016359909170645476
22,0.015324228513553681
23,0.01450284271094159
