Hour,Scaled Value
0,0.5154996979773955
1,0.4764676739608405
2,0.4607940645632617
3,0.45806689684153323
4,0.46128744042204856
5,0.5042483161859619
6,0.5863080096304629
7,0.6539154245224013
8,0.6929795666408358
9,0.7075277570756137
10,0.719558330374606
11,0.7191754115283273
12,0.7143166078409154
13,0.7098470946175359
14,0.7061239775944077
15,0.7027852414687976
16,0.6998241653302522
17,0.6862193522270671
18,0.6634592785442028
19,0.6340775112156315
20,0.5993228961167859
21,0.5606188768291313
22,0.542268621634379
23,0.5255261717205573
