Hour,std
0,0.01014275660278762
1,0.010085175078868
2,0.010016332363184622
3,0.010765886094410782
4,0.01129387810951479
5,0.016189657457169177
6,0.02346887168752389
7,0.030578825912496117
8,0.03544079763932698
9,0.038451947535728996
10,0.04057076794539053
11,0.04139220459133373
12,0.04225481866506937
13,0.04223204875317436
14,0.0410532370414423
15,0.03833102642678996
16,0.03507877585136519
17,0.03116795224285998
18,0.027419475143214654
19,0.020995956044577987
20,0.017270647952489563
21,0.01514342614215708
22,0.012986697463206244
23,0.011717511971176299
