Hour,std
0,0.016265852297537266
1,0.015472301433191376
2,0.014731959407883632
3,0.014845547559065923
4,0.01701986635459083
5,0.018145339027584494
6,0.02507655102681376
7,0.030597204270923137
8,0.033095417260781856
9,0.03311602117880607
10,0.033123908508174996
11,0.033846128399037646
12,0.032243818209501646
13,0.03194247283756732
14,0.030416565538141253
15,0.0294586324986449
16,0.03114734041503124
17,0.0313930804833952
18,0.03075915796667177
19,0.02713387109137683
20,0.022696027020808765
21,0.02077451259687059
22,0.01964058153849301
23,0.01748245195097667
