Hour,Scaled Value
0,0.47705478551257186
1,0.46288851905355577
2,0.45753890961473936
3,0.4576919372160644
4,0.49111339334443116
5,0.5649058691698735
6,0.6267189448618617
7,0.661241302961833
8,0.6782089863671977
9,0.6954305279627209
10,0.7011188988721233
11,0.7032614238148602
12,0.703814347422764
13,0.7028536556802731
14,0.7004778827179114
15,0.6960078255401667
16,0.6776382525841175
17,0.6537544715526282
18,0.6259612387793919
19,0.591285715021596
20,0.552160727647542
21,0.5315168680575801
22,0.5161705552893818
23,0.509579572797322
