station,X,Y
SLFGOR,2626712.320945773,1092477.0000858072
SLFGR2,2549556.000724823,1133390.8945149546
SLFGRA,2552121.8568627476,1133369.962018716
SLFGU2,2664622.755965808,1170582.028114983
SLFGUT,2664602.817271193,1172434.7008030128
SLFHT2,2735075.5472602835,1156928.2301259295
SLFHT3,2746621.7102284324,1155345.2987620442
SLFHTR,2731282.1741647106,1154991.0446756254
SLFJA2,2586831.04486531,1164690.959700486
SLFJAU,2586831.04486531,1164690.959700486
SLFJU2,2773623.7397512416,1150503.4269888944
SLFJUL,2773623.7397512416,1150503.4269888944
SLFKE2,2788509.551302848,1165780.4195213958
SLFKL2,2784925.3520614323,1199035.183924367
SLFLAU,2593187.009864779,1142447.1672857325
SLFLE2,2595749.0122020594,1142444.784719642
SLFLU2,2703030.5206957194,1161853.1492947475
SLFLUK,2702998.768283655,1163705.6430280476
SLFOBM,2582933.749815408,1140614.8449353366
SLFORT,2715120.910231384,1197282.1472040913
SLFRO3,2765182.2597338064,1178067.9039142504
SLFSCB,2650503.7381210285,1181563.8204519323
SLFSWM,2637940.136092955,1155531.7737217355
SLFTR2,2611134.615557366,1135042.3668953937
SLFTRU,2609849.036809514,1136892.901172102
TGILL,2733707.954956888,1273660.8349671536
TGLAN,2712368.954449612,1275069.2434066779
TIGAN,2709104.5079769064,1108221.6780720982
BEH,2798172.165313336,1143846.4198525308
BEMBE,2635198.726564526,1187012.9725525146
CGI,2507306.5663622874,1139451.367851401
COV,2782803.166720027,1143360.735204697
DLMES,2712443.460842801,1336244.4780467395
DLMEZ,2735048.2511552195,1377519.909209749
DLMIT,2888410.7645367095,1266212.1245937406
DLMUO,2617977.475377358,1777189.797868697
DLNBL,2691752.8848837353,1389653.043676538
DLNOT,2749436.616093128,1392711.497943403
DLNUE,2861769.618196364,1489553.0086789131
DLOHL,2641556.0672510206,1364970.898093704
DLOHR,2751547.145788975,1452134.960594261
DLOYM,2821268.7335710945,1280005.5328736713
DLREN,2708741.0680132615,1401075.3128684764
DLROT,2688858.0851387065,1337691.5721978517
GEN,2722396.9499513307,1088090.6941817089
INNRED,2639985.8701515542,1231513.0736063141
IYMEL,2842319.8819298423,1193670.9812223692
IYMER,2882560.039586802,1176889.2478824176
IYMUW,2937334.2846079855,1201990.492000442
IYNAT,2871263.8490633015,1172658.1693682342
IYOBV,2928862.585547576,1194095.403595254
IYPFD,2922980.817123158,1208619.004716302
IYPFE,2878136.6127550355,1189665.8605945997
IYPFI,2916547.7248649867,1210129.5414244975
IYPFS,2923081.0150853815,1206768.873190335
IYPLO,2928302.173308328,1181075.603269701
IYPRL,2956739.378534618,1217967.771553318
IYPRM,2955364.0090134037,1219741.7096071094
IYPRR,2957792.9419101076,1179052.2202230224
IYPRU,2954099.4259791244,1219666.3556641685
IYPTR,2908635.9046089277,1191161.7821602134
IYRAT,2894384.532548115,1196008.5393875677
IYREI,2953382.945999507,1210343.1853715905
IYRID,2894019.8902042895,1203410.854563682
IYRIT,2908411.2239995846,1170742.683835185
MAG,2715439.916283919,1113898.276411761
MAH,2533352.6207455187,1176164.4555675911
MAS,2571524.650261758,1166597.02268308
MER,2655646.005664098,1176050.7256408748
MMMAT,2691070.502667309,1274701.9023366864
MMMES,2738012.8227753113,1140315.7685915416
MMMOU,2594554.1690006047,1235087.4123313832
MMMUM,2619749.518411524,1244382.5131380132
MMNAF,2722356.3432892803,1215958.4573478473
MMOBE,2617370.387577436,1196198.9984496818
MMRIC,2721937.7382445666,1236336.436759728
MMRIG,2603411.239649236,1185057.9548563412
MOB,2584112.785135066,1101703.5115398967
MOE,2633465.7504881634,1268534.427240376
MRP,2629313.3921376145,1088783.3233862575
MTE,2613754.1728872727,1110961.835893232
MTR,2713629.2882095873,1141660.2305595344
MUB,2588181.166168869,1201744.3255360916
MVE,2602159.1425030124,1127621.5732232607
NAP,2637625.0941584418,1205556.435470696
NAS,2815778.8094365485,1188946.1058178295
NEU,2562836.5791546954,1205554.448928163
OBR,2764449.563488779,1250338.1689836506
ORO,2554868.8466242156,1157435.255682175
PAY,2562709.3114287783,1185173.6787043936
PIL,2661727.989621575,1203903.983954597
PIO,2695516.1431182954,1152464.082777983
PLF,2586859.648492089,1177660.3951089138
PMA,2760533.7061921745,1161260.686846536
PUY,2540758.2295457106,1151999.3821817627
ROB,2802262.4637155808,1136567.1545109223
RUE,2633549.65866199,1253709.7911356266
SLFLA3,2773837.357349845,1143095.517832063
SLFLAG,2776290.674419623,1146873.8399205916
SLFMAE,2639170.10602188,1162950.8599451438
SLFME2,2732846.161660719,1142052.9574252325
SLFMEI,2684917.6936252844,1178246.6641242146
SLFMES,2731565.0769638903,1142024.8695842898
SLFML2,2765375.5047990624,1216997.6597666768
SLFMO2,2699857.462781218,1198860.6864095437
SLFMT2,2720310.038141423,1191824.7707336096
SLFMTR,2713629.2882095873,1141660.2305595344
SLFMU2,2638091.825702864,1131446.4463975618
SLFMUN,2636797.2108951374,1133291.2179542712
SLFMUO,2702395.4700847324,1198903.648221354
SLFMUT,2722851.034266384,1191876.4274403122
SLFNA2,2709684.6024135426,1147146.368736025
SLFNAR,2709684.6024135426,1147146.368736025
SLFNAS,2814507.6904099565,1188900.3952000316
SLFNE3,2591863.326426562,1110951.9427648988
SLFNEN,2593151.0231241304,1110950.334614886
SLFOB2,2667338.599892717,1155788.7944316966
SLFOB3,2669959.4640770974,1150260.0385992608
SLFOBW,2667338.599892717,1155788.7944316966
SLFOF2,2817788.8454315774,1168624.8769987223
SLFOFE,2819199.4086134243,1164968.2275514374
SLFPMA,2760533.7061921745,1161260.686846536
SLFPU2,2709347.389601879,1165670.8921390632
SLFPUZ,2708104.6519417297,1163795.3308217276
TGNOL,2726427.0038009905,1262378.858610061
TIMOL,2720330.0286196894,1126965.2770658159
TIPIO,2698013.519441321,1156210.227937357
BEGTH,2599594.5255573466,1173940.2670695568
DLSIN,2703306.213361202,1291585.2861240415
DLSTS,2729374.432731597,1410775.5645162924
DLTRI,2543102.4606289235,1511644.532598133
DLVIS,2676657.2170028845,1322688.3773187604
DLWEG,2855716.5380115607,1435423.3370464041
DLWOL,2658977.763903027,1350289.8949761393
HAI,2718558.390899108,1278897.585307674
IYRBW,2859394.8766986346,1151734.0121322998
IYSAN,2943569.326378067,1204201.9245321183
IYSAU,2888768.0367363743,1127103.5166706778
IYSCH,2856126.0568026826,1168283.9161030683
IYSEI,2925585.896200567,1160517.1215261442
IYSMG,2966842.665999621,1198161.8977205092
IYSMP,2889664.3258375577,1188357.9870564346
IYSMT,2941134.549688891,1179936.7764514561
IYSTG,2854064.745766146,1186740.7183610965
IYSTZ,2904352.3986797077,1200218.3329748802
IYSUM,2843895.7518773116,1154794.6685643576
IYSUS,2845174.1146115586,1154846.6244790028
IYSVE,2860664.1499286536,1181460.8798867522
IYSVP,2956189.6894185306,1184524.8478933002
IYSWA,2871765.995055052,1161552.9823287374
IYTER,2931300.0409486406,1196085.6314031603
IYTOB,2964980.880810147,1186910.4468812062
IYTRZ,2837284.547795631,1160092.8819953445
IYULT,2860593.734868352,1153640.2671764651
IYULW,2855400.610441239,1155272.0473181957
IYVAA,2919774.058059502,1197313.2906868288
IYVAL,2836261.4983960814,1186011.4851900197
IYVOL,2911536.3915502443,1159772.6764698222
IYWEL,2958512.1635533967,1188375.638592432
IYWEN,2914574.2740462786,1150654.5267476377
IYWOL,2931767.132081898,1164566.1955519887
KAWEG,2636628.0930771246,1161082.0466789168
KLO,2682507.007608102,1259749.3150313073
MMSAP,2741247.251221221,1166336.3615284776
MMSAS,2779849.402630542,1198880.1809230854
MMSAX,2753557.751668516,1233363.0995397328
MMSSE,2689538.36479631,1209815.5157348965
MMSTA,2669357.0695559094,1202134.744808276
MMTIT,2620989.2030770658,1249945.8970980565
MMWAA,2750893.0523748277,1238855.5133354869
MMWET,2745402.9701798595,1205355.951665476
MMZOZ,2793673.329964523,1164090.9981831934
MMZWE,2595758.3161295964,1155414.0769087095
NABZUE,2682662.108695366,1248631.9826978496
PSI,2659840.9993590014,1265036.2000828409
REH,2681327.3099625637,1254173.197408025
SAE,2744680.7133177514,1234993.7120228293
SAG,2690720.413396852,1215392.6759851843
SAM,2787522.173090926,1156481.212789432
SBE,2734003.633653841,1147638.1909616797
SBO,2716110.632704648,1078701.7221831358
SCU,2817117.0942332735,1187140.5027096327
SHA,2688453.4293499654,1282075.7584868928
SIA,2778905.747034765,1145097.367056433
SIM,2647190.561217843,1116688.117259841
SIO,2591873.369521869,1118362.9863668832
SLFBOR,2652256.4417826477,1125993.810434815
SLFILI,2551974.648694364,1114842.990285446
SLFSA2,2634346.6738458625,1112896.1550562116
SLFSA4,2635666.6005617813,1107345.373682158
SLFSAA,2633059.3902355344,1112889.005099675
SLFSC2,2697530.681267499,1185850.7663666268
SLFSC3,2702490.7287223847,1193345.9683829222
SLFSCH,2630270.792827905,1155488.3642666093
SLFSH2,2630252.1825975506,1159193.8425215601
SLFSHE,2628885.6292487653,1177715.1163962441
SLFSMN,2820316.3369038613,1203944.147502718
SLFSP2,2652304.4459044943,1120435.7523604706
SLFSP3,2647204.9874430033,1114835.4126665075
SLFSPN,2649748.295797825,1118561.3952837333
SLFST2,2605969.6980798175,1170237.5830503134
SLFSTN,2624048.3658881113,1112846.6181876825
SLFTIT,2674684.277323482,1181816.3413777417
SLFTU2,2697772.1003909083,1171030.4022303005
SLFTU3,2699108.1639798256,1167346.2606760685
SLFUR2,2682625.426208004,1159685.1230358954
SLFURS,2691425.6364959525,1169077.3868299657
SLFVI2,2829262.6946012974,1202426.9366472159
SLFVIN,2829262.6946012974,1202426.9366472159
SLFVL2,2734784.380103149,1169894.3159964685
SLFVLS,2728527.3637689245,1164197.4905480237
SLFVS2,2822409.252351333,1181772.6314618469
SLFYBR,2706004.83882616,1210085.4974801298
SLFZE4,2620248.0311248945,1094304.8951393405
SLFZER,2622809.6712641018,1099872.3434607186
SLFZNZ,2795863.182512118,1175284.5251788937
SMM,2829408.751554393,1165349.488152765
SPF,2644003.909990584,1200041.306983883
SRS,2769486.6455169865,1205991.5097835395
TGUSH,2701061.7058420638,1276718.1040265656
TGWEI,2723760.583577093,1269736.5785917675
THU,2611056.479117448,1177655.8953086971
ULR,2666121.432457901,1150216.6923161468
VAB,2761312.084944715,1179815.9532193115
VAD,2757637.2181409695,1222348.4492898947
VEV,2552224.9000040484,1146338.8205745255
VIO,2768921.1848136852,1135541.8732590263
VIT,2544697.650824536,1163078.882070507
VLS,2733591.6158878044,1166161.1908459833
WAE,2694281.743291076,1230273.2076531756
WFJ,2780128.231518327,1189620.2708531108
WYN,2626094.909138957,1233288.9196703166
ZER,2624107.059466319,1098024.5463534435
