MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
0,88.46387495709563,6.9805,2.6939280293993018,59954.0,30071.0,DEM
5,46.376625692686126,3.884472222222222,1.324585358752044,32591.0,13515.0,DEM
8,22.06559252461343,1.4805,0.7983039803294497,14196.0,10765.0,DEM
9,25.920405424768308,1.6391666666666667,0.8649306937645207,15836.0,11680.0,DEM
13,32.91869319443358,2.374527777777778,1.3937679589608443,21407.0,17051.0,DEM
17,78.63851954223463,6.0350277777777785,2.3420836033782284,53747.0,26511.0,DEM
20,65.62293321073759,4.9471388888888885,1.8805724757830276,43691.0,21837.0,DEM
25,53.68526003957536,3.7038333333333333,2.0582192817070792,34260.0,25703.0,DEM
28,61.62574823361309,4.2773055555555555,1.7763640651952777,39509.0,22402.0,DEM
31,57.60210048265729,4.113083333333333,1.604055899836472,37841.0,19876.0,DEM
32,79.07948351941836,6.269611111111112,2.809524538391052,53166.0,32805.0,DEM
35,383.0290256398898,30.333694444444447,13.640224406290281,259239.0,113295.0,DEM
43,37.08653841229851,2.5411666666666664,1.540978545584785,22584.0,20250.0,DEM
47,12.223499880000205,0.8371944444444444,0.4729832279151569,7077.0,6942.0,DEM
49,211.34359370865613,17.06313888888889,6.759116847172997,145763.0,58174.0,DEM
58,5.651162743395895,0.39416666666666667,0.2315265329006353,3512.0,3000.0,DEM
61,50.073408559363486,3.74525,1.8351652062589157,35551.0,20430.0,DEM
62,16.646897923532286,1.2824444444444445,0.7472455718954962,9734.0,9734.0,DEM
70,0.04001198893891415,0.0021666666666666666,0.0016661637345820974,26.0,26.0,DEM
71,41.8657156399204,4.045527777777778,2.245787129918856,29727.0,20703.0,DEM
72,14.053944337796928,1.0570555555555554,0.6432704307189356,9598.0,5747.0,DEM
75,5.5812663782707235,0.2797222222222222,0.23533298913681153,3248.0,3248.0,DEM
76,0.9221867975761413,0.07861111111111112,0.039759618216875375,566.0,566.0,DEM
78,16.41394998408975,0.9471111111111111,0.6175182789530831,9626.0,9465.0,DEM
79,242.34951526445846,17.372083333333332,7.218606648294343,157793.0,81697.0,DEM
81,1043.6160438494865,81.13591666666667,34.39194202161992,720597.0,265834.0,DEM
82,0.5909462981747321,0.05333333333333334,0.02653704443213695,384.0,384.0,DEM
83,11.946536159223236,0.8761944444444445,0.4707723097252167,7063.0,6436.0,DEM
84,1.2295991985458619,0.11097222222222224,0.0519918011447662,799.0,799.0,DEM
85,70.36270703116196,4.500388888888889,2.268116284721139,45836.0,26675.0,DEM
86,101.32316473980897,6.744222222222223,2.963260716632721,66040.0,33400.0,DEM
88,86.33736965454307,6.804444444444444,2.479365548948645,57968.0,27345.0,DEM
89,0.04462875689340424,0.004027777777777778,0.0018673593752439519,29.0,29.0,DEM
