MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
0,14.640134561128685,0.84725,0.4641416264901991,9755.0,4292.0,OBR
11,259.8623261423008,18.37827777777778,7.5030490684586235,169040.0,76527.0,OBR
12,278.5223855410711,20.72608333333333,8.063972738599572,184443.0,84438.0,OBR
17,33.66398174115658,2.5603611111111113,0.9510733005293729,22291.0,9992.0,OBR
22,141.01352100247374,10.197666666666667,4.178047427905741,92100.0,43810.0,OBR
23,41.551641782507566,3.3910833333333334,1.1947593613003644,29035.0,10261.0,OBR
25,19.731643700423128,1.366638888888889,0.6728361895855489,12697.0,8608.0,OBR
26,28.34708926515491,2.6290555555555555,0.8220063078248051,19800.0,6817.0,OBR
32,28.82323078503476,1.9296111111111112,1.1871316570021433,21156.0,8997.0,OBR
36,18.58132268417268,1.5678055555555557,0.6083085324496487,12615.0,5233.0,OBR
46,16.07410658026393,1.4009166666666668,0.47510553800305333,11505.0,3858.0,OBR
47,25.893193777212254,1.9591666666666667,0.759223190890924,17018.0,7852.0,OBR
48,56.16865458818028,3.9012777777777776,1.5689226006431243,36310.0,16513.0,OBR
52,26.51237345727804,1.94925,0.7694372333085172,17991.0,7333.0,OBR
57,20.2533931508269,1.6224444444444444,0.6928384025893546,12978.0,8173.0,OBR
58,21.631093523333096,1.6705555555555556,0.6211339730212837,14540.0,5688.0,OBR
61,36.35529550569607,2.6216944444444445,1.0001883415454098,23151.0,10321.0,OBR
64,23.33522989880781,1.6511111111111112,0.7357799504035302,15448.0,8381.0,OBR
65,18.015079201164426,1.4863611111111112,0.5579656278638305,12047.0,5572.0,OBR
66,6.6871255875510895,0.5361666666666667,0.23722708824786626,4068.0,3403.0,OBR
68,16.73914846452988,1.3411388888888889,0.5439425315327241,11121.0,6323.0,OBR
71,16.428959620007923,1.2269444444444446,0.457748923367097,11004.0,3953.0,OBR
74,6.526911666522127,0.5181111111111111,0.23482903354247536,4476.0,1889.0,OBR
75,8.009469584781568,0.6718055555555555,0.18891224159616923,5269.0,1994.0,OBR
77,0.9954654204602361,0.05383333333333334,0.03120434805715683,646.0,220.0,OBR
78,2.370402288142042,0.18522222222222223,0.05454484626740639,1498.0,562.0,OBR
82,28.119321479491912,1.9805555555555556,0.8431541036494854,18882.0,6417.0,OBR
83,116.01787860525398,8.646722222222223,3.5242739860420733,77796.0,34079.0,OBR
84,23.34771267968492,1.6841666666666668,0.6970868446537891,15346.0,6727.0,OBR
85,38.78520084525917,2.9135,1.0909479137022466,26226.0,10682.0,OBR
86,44.36127173306179,3.59225,1.4872136514165384,28387.0,9285.0,OBR
87,22.847834765784974,1.57225,0.6440845747896177,15319.0,5530.0,OBR
89,34.26384910188,2.9674722222222223,1.1611041962204354,25165.0,8626.0,OBR
91,33.6090681988257,2.5932222222222223,1.0398940073867997,22546.0,10056.0,OBR
92,24.64058549658866,2.1605833333333333,0.8021153029534736,17953.0,7946.0,OBR
95,14.29888138272697,1.1071111111111112,0.44414900116911904,9668.0,3196.0,OBR
97,20.011862803992027,1.8715555555555556,0.8971507391123942,13992.0,4072.0,OBR
99,19.200704629363425,1.3763333333333332,0.5278185997280819,12698.0,4566.0,OBR
100,55.12748915566136,4.122972222222223,1.6557724122646416,35759.0,18351.0,OBR
101,33.05608086363436,2.3933611111111115,0.9248134462161531,21679.0,9995.0,OBR
106,11.487951375983565,0.7265,0.3050791727530466,7068.0,3697.0,OBR
108,184.74518396565358,12.536111111111111,5.485938474372494,120626.0,58962.0,OBR
175,10.315129348620777,0.7537222222222222,0.29218071580258026,6568.0,3688.0,OBR
176,2.583732915653478,0.166,0.08403786096356543,1604.0,1216.0,OBR
177,8.037267283388465,0.42825,0.26693283042256816,5269.0,2280.0,OBR
178,37.79595577136549,3.1420833333333333,1.0832731233752686,25521.0,9623.0,OBR
179,152.52930891793252,10.409916666666668,4.465174648456581,99267.0,48132.0,OBR
180,10.235302899937999,0.8535833333333334,0.245296312223142,6867.0,2379.0,OBR
181,30.427220162495786,2.617722222222222,1.2246487544917821,20092.0,14983.0,OBR
182,29.270127731129683,2.022972222222222,0.9664384904018651,20011.0,8340.0,OBR
183,2.4798871645344756,0.16222222222222224,0.06407647346452212,1540.0,620.0,OBR
184,0.9381369230769232,0.04525,0.022599052037027622,543.0,181.0,OBR
186,1.9536867821194623,0.16327777777777777,0.058613558605702644,1330.0,562.0,OBR
208,16.880542740923016,1.4254166666666668,0.4639050864338641,11659.0,3861.0,OBR
210,172.50439132388215,11.902527777777777,5.267405864740558,113425.0,53486.0,OBR
211,27.66793777615993,2.223361111111111,0.9165496157529001,18667.0,6603.0,OBR
213,56.43823449230049,3.691388888888889,1.5680548833702332,35552.0,18318.0,OBR
223,15.91971128525717,1.0013055555555554,0.4632901538277394,10583.0,4010.0,OBR
