MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
0,21.898752725237458,1.4745555555555556,0.6283678232434747,14322.0,7292.0,MMWAA
1,57.06214005706607,3.9957777777777777,1.70633021713319,37122.0,20766.0,MMWAA
3,473.90624602385543,37.08877777777778,13.769982100165695,320464.0,137148.0,MMWAA
4,16.63532560691187,1.2214444444444446,0.45139548623475934,10864.0,4820.0,MMWAA
9,35.942167944028505,2.7625277777777777,0.9281919114598954,23115.0,10846.0,MMWAA
13,5.4398748103481065,0.48938888888888893,0.17076701831839508,3732.0,2014.0,MMWAA
15,10.201322091380414,0.94075,0.31113691184496456,7635.0,2699.0,MMWAA
18,17.78301529264953,1.3680833333333335,0.48205184228609843,11919.0,4859.0,MMWAA
20,4.254690687328621,0.2741111111111111,0.12116599956971666,2810.0,1329.0,MMWAA
21,7.422505896861557,0.31175,0.2514051153208912,4731.0,1157.0,MMWAA
25,6.154699327490882,0.48794444444444446,0.1594770045927548,4148.0,1190.0,MMWAA
26,3.1930103085348702,0.2283333333333333,0.08903092350350268,2102.0,745.0,MMWAA
27,2.7220496989557,0.19116666666666665,0.07277082234389334,1814.0,668.0,MMWAA
28,15.66757590240994,1.0206388888888889,0.46318622694855355,10213.0,4404.0,MMWAA
34,14.177624635396183,0.9615555555555555,0.4379666712583694,8468.0,2705.0,MMWAA
35,14.890138948108492,1.2715277777777778,0.5000387741892456,9155.0,5686.0,MMWAA
36,19.355509201107676,1.5615277777777778,0.6407823654453572,12599.0,6040.0,MMWAA
38,6.542529889659038,0.58075,0.30040900763291856,4295.0,3897.0,MMWAA
39,22.448508547318546,1.5126111111111111,0.5599646407947793,13410.0,6642.0,MMWAA
42,14.893496405444777,1.1813611111111113,0.5911483149519251,9821.0,4055.0,MMWAA
48,47.099633576893865,3.8868055555555556,1.6073870592192245,34027.0,19324.0,MMWAA
51,50.875979287830724,3.575861111111111,1.3110408590511826,31779.0,13797.0,MMWAA
55,17.829438992465775,1.0178055555555556,0.6233793371670981,11501.0,6636.0,MMWAA
56,337.42089262051195,25.077361111111113,10.264689823798733,223911.0,99882.0,MMWAA
60,11.813242692059466,0.8899722222222223,0.3895197195541433,7979.0,2893.0,MMWAA
61,7.289159701930631,0.5800555555555557,0.2132874908776298,4856.0,1580.0,MMWAA
62,11.16878938053157,0.8974444444444445,0.3330525839423231,7270.0,2724.0,MMWAA
66,15.681087342491834,1.3835,0.4770450832818024,11056.0,3047.0,MMWAA
72,19.24587524998378,1.4438055555555556,0.5791979304182903,12859.0,4529.0,MMWAA
73,5.10582022923171,0.29625,0.15543579990797798,3555.0,1363.0,MMWAA
74,7.618905510039942,0.5570277777777778,0.23051872378373023,4865.0,3010.0,MMWAA
75,23.313660675352907,1.548,0.8337958385381481,15960.0,10082.0,MMWAA
78,14.341677328394825,0.9754722222222223,0.5136795837853393,9187.0,6600.0,MMWAA
83,10.224605471595806,0.8239166666666666,0.28331477422063284,6971.0,2427.0,MMWAA
91,19.089443144626784,1.6203888888888889,0.5224021593604744,13052.0,3718.0,MMWAA
93,7.780119697373064,0.5448888888888889,0.22223990711227304,5236.0,1494.0,MMWAA
95,10.290368140602672,0.8148333333333334,0.2525224329405442,6730.0,2240.0,MMWAA
97,4.206522175130417,0.35900000000000004,0.14738233955612026,2848.0,1104.0,MMWAA
102,1.171674136876414,0.0725,0.05078645203025842,786.0,442.0,MMWAA
103,1.7919757053262424,0.1374166666666667,0.044937783487048646,1207.0,425.0,MMWAA
109,41.488672995845135,2.983138888888889,1.3633914829644456,27777.0,14529.0,MMWAA
112,50.87725660701952,3.6268333333333334,1.438007099713548,32308.0,17366.0,MMWAA
113,33.21895063458059,2.1733333333333333,0.9619028185694212,21296.0,11995.0,MMWAA
119,23.828458406785728,1.6835277777777777,0.7153896277219166,15665.0,7623.0,MMWAA
121,19.495837399857145,1.38075,0.512695238502648,12587.0,5755.0,MMWAA
122,8.77487412930193,0.926,0.24154382698048907,6800.0,2349.0,MMWAA
123,13.498975635807666,1.1064166666666668,0.5553153184171056,9111.0,5294.0,MMWAA
124,21.080375188166375,1.5837777777777777,0.7642212026412933,15104.0,6199.0,MMWAA
125,33.75742723760052,2.4018055555555557,0.9219305199777232,21399.0,7977.0,MMWAA
126,9.869531868945645,0.8054444444444445,0.25038866541467825,6546.0,2525.0,MMWAA
