MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
2,12.941842991751244,0.9615277777777779,0.35108187684704045,8673.0,3275.0,SLFBV2
5,5.644369516936911,0.4222222222222222,0.1454335435004291,3644.0,2580.0,SLFBV2
8,23.154906563025513,1.8968333333333336,0.5675541391126104,15220.0,7043.0,SLFBV2
11,23.098813620414788,1.593027777777778,0.6561850181609992,15475.0,5828.0,SLFBV2
12,26.075547358268782,1.6453888888888888,0.723240927708485,16826.0,4857.0,SLFBOV
17,7.514643443856241,0.549611111111111,0.18028035454738456,4626.0,1830.0,SLFBOV
18,11.292326709780994,0.89775,0.3054700656051696,7559.0,3096.0,SLFBV2
22,7.273017208996964,0.5985,0.19155571765374974,4930.0,2013.0,SLFBV2
23,10.705906009716898,0.7392222222222223,0.2940712842894623,7102.0,2816.0,SLFBOV
26,15.804031159027778,1.1788333333333332,0.454560454845378,10162.0,4504.0,SLFBOV
30,12.506690468982365,0.9289444444444445,0.37631848363298326,8294.0,3621.0,SLFBOV
32,19.157304070370976,1.4797222222222222,0.5386055742437518,12856.0,5539.0,SLFBOV
33,27.781094435752674,2.4050277777777778,0.773488267908221,19153.0,6715.0,SLFBOV
38,19.77472693969058,1.4506388888888888,0.7744690178851174,12821.0,10647.0,SLFBOV
41,10.525785273108424,0.6890277777777778,0.3311683614275031,6809.0,3872.0,SLFFOU
45,12.748764004604157,0.9061388888888889,0.3516485968267567,8771.0,2112.0,SLFFOU
49,11.415889188935632,0.8372777777777778,0.3280510840128611,7478.0,3630.0,SLFBOV
50,13.712416269687152,1.111527777777778,0.3572902820557086,9427.0,3305.0,SLFBOV
56,11.638684061770869,0.8916944444444445,0.310497402903834,7697.0,3396.0,SLFFO2
59,12.212347408908308,0.8887777777777778,0.3227090064800529,8008.0,2945.0,SLFFO2
60,11.492216529190506,0.8646666666666666,0.3249527223898858,7380.0,3590.0,SLFFO2
62,13.384930159312399,0.9314166666666668,0.36528614823262046,8731.0,3944.0,SLFFO2
68,13.57438016282602,0.9621388888888889,0.382198427719766,8653.0,3978.0,SLFFO2
69,12.41451544700507,0.9368888888888889,0.3695803111256432,8078.0,4546.0,SLFFO2
72,19.08564324686766,1.4508055555555557,0.5849072089665591,12537.0,6951.0,SLFFO2
73,24.04181609227892,1.532361111111111,0.7169237178871569,15805.0,7178.0,SLFFOU
74,17.98088502668031,1.4713888888888889,0.48011847312885936,12034.0,4065.0,SLFFOU
79,12.205733535190264,0.92575,0.3048644270332763,7807.0,2817.0,SLFFOU
82,21.106925116169634,1.48675,0.6072614548402238,13799.0,6176.0,SLFFOU
83,12.258160814656701,0.9643611111111111,0.3562560138424541,8249.0,2628.0,SLFBOV
88,12.440638518986185,1.018722222222222,0.33570744604529856,8268.0,2764.0,SLFBOV
89,12.029896693811112,0.9853333333333334,0.4244901660075445,8066.0,4341.0,SLFBOV
92,17.98172790525251,1.5059722222222225,0.45733679485859385,12095.0,4674.0,SLFBOV
93,7.839322197163247,0.7113333333333335,0.20507952798490464,5460.0,1333.0,SLFBOV
95,11.624494702208706,0.88425,0.3455715667295339,7747.0,3967.0,SLFBOV
99,12.903508442562492,1.0381666666666667,0.36472064838474944,8644.0,3598.0,SLFBOV
100,15.65286158480474,1.2297777777777779,0.42968782256308324,10478.0,4174.0,SLFBOV
