MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
4,7.094392355607105,0.5418611111111112,0.23452467828884493,4603.0,3152.0,SLFSHE
5,64.37010145444634,5.255333333333334,1.9097741339777825,44636.0,19723.0,SLFSHE
6,65.52630958633047,5.035166666666667,1.8909456363128403,44842.0,19604.0,THU
7,48.02441105695116,3.993027777777778,1.3810094658994543,33121.0,14648.0,SLFSHE
12,42.10472262656247,3.5522222222222224,1.2655399670339122,29606.0,14006.0,SLFSHE
15,61.30869156407835,4.908083333333334,1.746756782486928,41683.0,18133.0,SLFSHE
16,33.048179831136125,2.8363055555555556,1.051350661215577,22577.0,11575.0,SLFSHE
20,45.243244026764536,3.6910833333333333,1.3080106288482076,31459.0,14317.0,SLFSHE
25,28.40767334153316,2.284138888888889,0.8107422503265873,19785.0,7050.0,SLFSHE
26,41.55331888052578,3.248277777777778,1.0343439287194705,25366.0,7938.0,SLFSHE
28,65.29647044643664,5.5595,1.8808475550134431,45148.0,18880.0,SLFSHE
29,50.17899542126854,3.8513611111111112,1.4820427816358002,34757.0,12785.0,THU
34,82.7474130062809,6.653888888888889,2.4762331088179224,56064.0,24055.0,SLFSHE
36,26.948784091785686,1.8809166666666666,0.757635630055538,18431.0,6251.0,THU
37,26.909183447730715,2.1945833333333336,0.7788542484104468,18141.0,7818.0,THU
38,65.72587081964483,5.370694444444444,2.0099610766971194,44851.0,21260.0,SLFSHE
39,50.0811962339332,3.7530277777777776,1.6282888945278502,33157.0,21318.0,SLFSHE
41,154.78281268143488,11.761583333333334,4.6532228263989746,104691.0,47445.0,INT
44,61.44172628507622,4.446527777777777,2.0021605106604676,41305.0,23026.0,SLFSHE
46,54.738208330141845,4.664638888888889,1.4977648618187946,37435.0,11056.0,SLFSHE
54,24.18685874123344,1.917111111111111,0.6907742867378515,16648.0,8150.0,THU
134,15.532558608174618,1.379527777777778,0.4086532877728315,10763.0,3554.0,SLFSHE
165,87.25393789248247,7.22025,2.470677513711122,59379.0,26711.0,SLFSHE
167,47.50850203983876,3.736527777777778,1.5126712909527118,32891.0,15817.0,SLFSHE
