MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
0,158.35754849686825,11.586472222222223,4.647878417693165,103605.0,55330.0,RUE
2,99.69019513344317,7.559722222222223,2.8242275271399153,65890.0,33615.0,RUE
3,165.3222125089447,11.7195,4.6071309897197406,104984.0,51789.0,RUE
7,178.6603337298718,14.38925,5.531056160731514,121441.0,59523.0,RUE
10,119.20254692429756,8.462222222222223,3.30294025373208,75762.0,33315.0,RUE
13,68.33291356659545,4.831833333333333,2.0779179265794885,44174.0,24756.0,RUE
14,124.50831781178495,8.581555555555555,4.325965114631896,81822.0,46011.0,RUE
15,90.11654374764119,5.991722222222223,2.7821036865661055,58742.0,28920.0,RUE
18,113.26413653924656,8.387083333333335,3.182455661058778,73363.0,33811.0,RUE
20,58.83340096940441,4.28525,1.65829437845524,37345.0,18034.0,RUE
23,121.49160823830012,8.773888888888889,3.816884101592709,79928.0,40541.0,RUE
26,76.56409365720226,5.5626388888888885,2.1336974017816868,48869.0,23608.0,RUE
28,111.95997923704171,7.754722222222223,3.260990075019607,72494.0,35560.0,RUE
29,79.95856673617735,5.812583333333333,2.9007114106758327,52023.0,32881.0,RUE
31,74.80929462831755,5.683694444444444,2.2829721651332315,48799.0,26092.0,RUE
35,44.4160059034118,3.2537777777777777,1.4684325402579688,29732.0,15509.0,RUE
36,51.04378552958519,3.2318611111111113,1.4840084904802422,31667.0,18222.0,RUE
37,98.45758862433877,7.220416666666667,3.1353476553620743,65991.0,32859.0,RUE
38,86.7623676257755,6.683083333333333,2.5301579093130586,56499.0,27987.0,RUE
40,31.50510024947818,2.1201944444444445,0.9584500716948309,19991.0,10390.0,RUE
43,85.23526630609597,6.2685,2.480719427341431,56670.0,24276.0,RUE
44,83.77577894687589,5.687555555555556,2.512665651987982,54184.0,27083.0,RUE
45,83.60745787637305,6.058722222222222,2.564872278553241,53948.0,28105.0,RUE
49,91.55192388751746,6.303333333333333,2.7622806185685436,59704.0,29338.0,RUE
163,37.26703661171385,2.668527777777778,1.7072021801190596,25379.0,19183.0,RUE
164,123.90501221816699,8.745916666666666,3.729301893525991,78745.0,37858.0,RUE
198,129.13662742183723,8.882388888888888,3.7035376506520197,82992.0,40733.0,RUE
199,63.09362608173193,4.173361111111111,2.0105920210987036,40949.0,23160.0,RUE
200,81.50529713768218,5.866055555555556,2.4404167517059943,52674.0,26227.0,RUE
201,30.53962952338489,2.0180833333333332,0.9252449489026306,20189.0,8481.0,RUE
207,201.0802942676768,14.063888888888888,5.9310152878520865,129496.0,63662.0,RUE
