MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
0,60.73426150308977,4.983583333333333,1.6165533407394783,42603.0,7954.0,BAS
9,6170.738583566606,500.4295277777778,211.3036979904282,4210471.0,876495.0,BAS
13,696.8520027032752,60.64636111111111,22.274779369816542,480639.0,164597.0,BAS
24,70.95839389625299,5.577222222222223,2.0082057763776286,49314.0,11337.0,BAS
27,57.842707746003434,4.367444444444445,1.5651377183444142,39524.0,8204.0,BAS
30,73.78121779517215,5.923861111111111,1.8004980945244091,47663.0,10188.0,BAS
34,74.95700033467183,5.626,2.2866200652825004,50840.0,13745.0,BAS
35,201.39365058343748,17.297,7.722178080893639,139066.0,36365.0,BAS
36,54.250287989502255,4.433944444444444,1.6449188458723345,37118.0,10244.0,BAS
37,17.367811767523293,1.4650555555555556,0.5445589270152614,11974.0,2617.0,BAS
38,73.64933881765293,6.296333333333333,2.4012540689386332,50434.0,13300.0,BAS
43,144.7159140141103,11.858305555555557,3.84391959612273,99351.0,24927.0,BAS
46,54.086774764307094,4.271944444444444,1.508213182438009,37676.0,9738.0,BAS
47,70.69930799275677,5.292305555555556,1.9174293502377386,46869.0,14187.0,BAS
49,100.79284294892085,10.04277777777778,4.1108585420068025,81868.0,33374.0,BAS
55,100.2280540427021,7.222472222222223,2.831382246027954,65503.0,20193.0,BAS
58,51.18780549625529,3.72225,1.445491955260193,33575.0,11329.0,BAS
65,21.62581211795356,1.7283333333333333,0.5813249815784949,15048.0,3771.0,BAS
68,2900.039896969446,237.00327777777778,89.20610698796996,1981072.0,405917.0,BAS
70,104.79521066189184,9.336083333333335,2.8258464282967988,74687.0,11315.0,BAS
94,1.009811468289445,0.06738888888888889,0.028461126678689462,676.0,232.0,BAS
96,101.49825953757541,8.269111111111112,3.0177762286578695,70918.0,24164.0,BAS
121,259.83921123448283,21.947361111111114,8.526742370335544,177345.0,41390.0,BAS
122,18.64475259617426,1.1229444444444443,0.5652566050554616,11982.0,6404.0,BAS
125,1.85146058168498,0.17944444444444446,0.04989734138836634,1292.0,323.0,BAS
126,55.659201886737364,3.8173888888888885,2.0478961035648746,36952.0,16610.0,BAS
127,13.482229316761332,1.2400833333333332,0.5075248769404296,9685.0,12154.0,BAS
128,1497.3169437870613,119.51702777777778,50.72962589298988,1010097.0,432046.0,BAS
129,34.19454187651899,3.5666666666666678,1.5859469336676941,25680.0,5463.0,BAS
131,18.159000552866242,1.9205555555555556,0.5456857017035985,15018.0,3519.0,BAS
132,11.181105815610197,0.9295277777777777,0.39038660087848964,8687.0,2591.0,BAS
133,37.12531967950612,3.4531944444444442,1.0257730714556463,26055.0,5447.0,BAS
151,0.07232936462034481,0.006194444444444444,0.0034609864843732443,47.0,47.0,BAS
152,14.444188309734075,1.0190277777777776,0.5644876787421835,9397.0,7087.0,BAS
160,4.5277211315363575,0.37425,0.1257200951053741,3149.0,913.0,BAS
161,102.15686092817107,9.236361111111112,3.116213978415416,77861.0,13082.0,BAS
162,71.33162877015242,5.240472222222222,2.310688216042964,46731.0,21392.0,BAS
167,43.855944937158924,3.5899722222222223,1.2971115176897992,29467.0,5980.0,BAS
168,809.9628930611022,60.20280555555556,28.488095023092384,528935.0,204298.0,BAS
