MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
39,252.0011079601068,18.96622222222222,7.845503159170539,164070.0,63998.0,LUG
48,3.6305139112300666,0.25055555555555553,0.1032345168538315,2370.0,1219.0,LUG
67,2.133662576765874,0.16405555555555554,0.05836942292776829,1474.0,555.0,LUG
79,58.2170982068718,4.438,1.678856932480011,38716.0,17118.0,TIBIO
116,24.695925318374023,1.8974722222222224,1.0517839396828692,21317.0,4393.0,LUG
119,28.534800758313555,2.6123888888888893,0.9600214163458276,24140.0,5494.0,LUG
122,0.027700607726940565,0.0025,0.001198974983413054,18.0,18.0,LUG
123,22.29231178893542,1.7262777777777778,1.1205891512289177,15634.0,7501.0,LUG
125,360.4886507387958,27.936833333333333,12.094609242199219,242460.0,100709.0,TIBIO
