MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
0,57.71816705208319,4.3345,1.6713479881183124,38426.0,20626.0,LEI
3,0.15376461538461542,0.012361111111111113,0.005894024449843586,89.0,89.0,MOE
7,2.6577194191347977,0.20380555555555555,0.12974052670661892,1727.0,1727.0,MOE
9,51.977142091707165,3.749944444444445,1.4875437945878491,34826.0,18902.0,LEI
13,63.647471993383704,4.870972222222223,1.9741521680398242,44373.0,20899.0,LEI
18,36.55934771335598,2.8743055555555554,0.953738846514505,24007.0,11603.0,LEI
21,66.15238016341843,4.916777777777778,2.101775292489765,44990.0,22866.0,MOE
23,48.246934673440705,3.6878611111111113,1.4612201492698818,32675.0,14580.0,LEI
25,25.33294792772953,1.7274444444444443,0.7605161397136918,16158.0,9755.0,LEI
26,3.96100754520197,0.28747222222222224,0.1272906442330977,2511.0,1779.0,PSI
27,21.4423128657064,1.676611111111111,0.7250835068105123,13990.0,8780.0,LEI
31,10.412643980000533,0.767,0.4147843410269004,6828.0,5461.0,LEI
35,82.19747878540562,6.789777777777778,3.367774689902371,55524.0,41917.0,LEI
38,20.219439706684103,1.6275833333333332,0.5678987390723268,13871.0,6828.0,LEI
44,29.54747513574203,2.4971944444444443,0.8620691379594182,20249.0,6787.0,LEI
52,29.574312547646098,2.3521388888888892,0.8860572260407402,20199.0,8658.0,LEI
57,47.14925978780233,3.7032777777777777,1.3829507126186398,32356.0,9365.0,LEI
58,5.248804140900703,0.582861111111111,0.2989064848747651,4399.0,1968.0,LEI
59,6.17251071360895,0.5091666666666668,0.24697489603352646,3666.0,3666.0,LEI
61,8.138782919975926,0.3111944444444444,0.34616154275805866,4995.0,4995.0,LEI
62,39.791607049116465,3.094638888888889,1.09049305079241,25963.0,11342.0,LEI
66,50.868304140082735,3.962444444444445,1.63247690409582,33786.0,20681.0,LEI
67,27.687199552642088,2.374694444444444,0.7839478239741733,19085.0,7138.0,LEI
71,8.95781250010406,0.6936388888888889,0.2907603295157962,5999.0,3279.0,LEI
72,34.070407845618604,2.109138888888889,1.2574889434030396,22515.0,16274.0,LEI
73,13.037107292786674,0.9989166666666667,0.45196180481239095,9355.0,3752.0,LEI
75,5.530148270048646,0.5638333333333333,0.20002106327972172,4182.0,2126.0,LEI
76,30.9758435507666,2.66075,0.8731060734799964,21867.0,7669.0,LEI
77,20.533203228234022,1.4608333333333334,0.5909557421939827,13372.0,6881.0,LEI
80,11.75736905743477,0.6366666666666666,0.588311589445737,7640.0,7640.0,MOE
81,25.15231807042666,1.8515,1.108506600897664,15828.0,15828.0,MOE
83,7.412091453921442,0.34680555555555553,0.30350348121002163,4707.0,4077.0,MOE
84,0.41228186194104943,0.022861111111111106,0.011840395168205262,267.0,139.0,MOE
85,1.3296291708931471,0.07466666666666667,0.059969140201702145,864.0,864.0,MOE
86,9.631284056351959,0.6529166666666666,0.41572904673052447,5953.0,5953.0,MOE
88,10.953828564508212,0.747361111111111,0.4536500199908956,6955.0,6565.0,MOE
90,13.301488397021805,0.75525,0.6056850509121591,8619.0,8309.0,MOE
91,22.628788037473022,1.50275,1.033026681749015,14503.0,14503.0,MOE
93,14.817249929233617,0.9755,0.622421447425193,9150.0,8508.0,MOE
95,16.108176681303924,1.3514444444444447,0.753697613733604,10302.0,10302.0,MOE
96,13.771223135340735,1.3405555555555557,0.3952553905648562,9804.0,3727.0,LEI
97,18.086716254814878,1.5267777777777778,0.7679586381852371,12064.0,5098.0,LEI
99,6.198206821762205,0.3491111111111111,0.26158953202562035,4150.0,2040.0,LEI
100,34.13880749756667,2.911611111111111,0.9417283132547285,23484.0,9302.0,LEI
102,2.7393936867771504,0.21808333333333335,0.11087565573316865,1587.0,1587.0,LEI
103,0.055692458560476894,0.004583333333333334,0.0023156638021104695,33.0,33.0,LEI
104,37.15931788754021,2.9409166666666664,1.0841499563916097,25035.0,10377.0,LEI
105,44.27123726315822,3.5695277777777776,1.3768268237578423,31521.0,14749.0,MOE
106,28.37313305852133,2.165916666666667,0.7788137329733829,19335.0,6028.0,LEI
107,66.1719139457905,4.6041944444444445,2.042469172186721,42855.0,27506.0,LEI
108,14.891240415199004,1.1798055555555556,0.6632630148629121,9355.0,9355.0,LEI
