MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
28,108.53729588678043,7.235694444444444,3.5233398197205537,69985.0,38765.0,NABZUE
32,175.54335066126689,12.321638888888888,5.547466730897016,111873.0,65070.0,NABZUE
33,16.76361107137542,1.2446111111111111,0.48845663657581156,10896.0,5702.0,NABZUE
67,248.44234414041452,18.71761111111111,8.457714621644493,165160.0,100496.0,BUS
69,69.2901438374461,4.971916666666667,2.5589661759974454,45251.0,32654.0,INNEBI
74,73.87409995615238,5.879,2.3142232211925844,50538.0,26106.0,INNEBI
76,34.89689305833359,2.316222222222222,1.227717155022924,22604.0,15848.0,BUS
81,62.107148398309235,4.755027777777778,1.9068266784240986,41399.0,23070.0,NABZUE
82,32.485408066972354,2.4103055555555555,0.9631155979221292,21577.0,11129.0,MMBIR
85,81.62016497836615,5.594611111111111,2.7333402768125894,53248.0,35289.0,MMBIR
88,39.35549134735307,2.6357222222222223,1.0835519081804315,25062.0,13657.0,MMBIR
89,40.82234626146534,2.9732777777777777,1.3282575973622592,26782.0,17531.0,MMBIR
90,79.2210924591625,5.611138888888889,2.7597520023688538,52505.0,36530.0,INNEBI
92,53.2871402438375,4.746638888888889,1.7630674670359763,38823.0,17696.0,NABZUE
96,28.362425212586285,2.01725,0.9187384518666704,19329.0,9373.0,NABZUE
106,15.17262383940212,1.100277777777778,0.4850111095420631,10036.0,4629.0,NABZUE
112,14.027833226082546,1.244388888888889,0.4226033117540852,10210.0,4035.0,NABZUE
113,34.41436516731389,3.047555555555556,1.2659730921062058,23914.0,11082.0,NABZUE
114,25.158489564373614,1.7978333333333334,0.7784478431306103,16242.0,8940.0,NABZUE
118,12.349513523317738,1.3579166666666664,0.4063146160171373,10269.0,2587.0,NABZUE
119,12.998964010024503,0.9955833333333334,0.6368566845949843,8741.0,6264.0,NABZUE
121,12.434211745734672,0.8990555555555556,0.38437237791340956,8712.0,3080.0,NABZUE
124,57.190598946484656,4.430194444444444,1.7882434487822023,37955.0,21718.0,NABZUE
129,29.07082928857291,2.1510555555555557,0.8109514731093386,19078.0,8789.0,NABZUE
130,24.22008843906455,1.7584444444444445,0.645217452729421,15494.0,7670.0,NABZUE
131,17.051164169666794,1.4343333333333335,0.6050865570144225,11302.0,7112.0,NABZUE
132,6.192309988775323,0.5969444444444445,0.2701685481714442,4722.0,1811.0,NABZUE
133,10.255076037324173,0.7791666666666667,0.4987467712736026,8332.0,3198.0,NABZUE
134,363.0001882021011,27.414583333333336,10.916267647544984,240285.0,119555.0,MMBIR
135,43.68056979423325,3.185694444444444,1.6087819282464748,30239.0,17481.0,NABZUE
138,50.45591896801642,3.9486111111111115,1.6770100902966152,36108.0,14645.0,NABZUE
139,46.47929305265858,3.705888888888889,1.362441349348734,30816.0,14963.0,NABZUE
143,30.486549838919743,2.439138888888889,0.9117280754880205,20591.0,10124.0,NABZUE
153,54.59649067449095,3.805888888888889,1.6498919520564446,35834.0,21479.0,NABZUE
158,39.25975859024378,3.1956388888888894,1.1296115615632911,27475.0,11058.0,NABZUE
159,30.2950601464906,2.314916666666667,0.8116267359478467,20137.0,5876.0,NABZUE
160,57.39931309328409,4.38,1.7923168838833365,40758.0,18497.0,NABZUE
161,47.88761150883622,3.3118055555555554,1.4365742065749127,31521.0,14529.0,NABZUE
162,32.09437137831218,2.7055555555555557,1.0590405079978158,22354.0,9484.0,NABZUE
167,62.89476001227041,4.640666666666667,1.932231384920517,41572.0,21232.0,NABZUE
171,23.472784151714386,1.9676666666666667,0.6951423146699065,16682.0,7941.0,NABZUE
172,32.47023023026921,2.5205,0.9368120421646381,21878.0,9957.0,NABZUE
173,14.421682226381293,1.2667777777777778,0.4015045888565396,10314.0,3833.0,NABZUE
177,55.176104023912536,4.837472222222223,1.6474429495877938,40425.0,15240.0,NABZUE
178,30.38225689907422,2.4734444444444446,1.0323680641980764,20762.0,9771.0,NABZUE
183,8.102415881901749,0.5076388888888889,0.28397865221790125,4997.0,4005.0,NABZUE
185,42.726616334864644,2.8881111111111113,1.2937396803004788,27726.0,15121.0,NABZUE
187,3.3816931029725406,0.27255555555555555,0.19108050568274842,2764.0,1762.0,NABZUE
189,2.6470280973195863,0.33305555555555555,0.18315370095343053,2398.0,1199.0,NABZUE
215,4.194836923076923,0.20233333333333328,0.16045021438841797,2428.0,1214.0,NABZUE
217,16.925377314619812,1.0336666666666667,0.5457053030033937,12264.0,2106.0,NABZUE
218,5.052806620875896,0.41086111111111107,0.24436342347989184,3345.0,2897.0,NABZUE
219,4.101955116816756,0.3060555555555555,0.16644400342649165,2804.0,1706.0,NABZUE
221,36.882845529078025,3.098777777777778,1.2612593234760716,27098.0,12461.0,NABZUE
223,12.29512432328428,1.2716944444444442,0.5128495019096775,10125.0,5439.0,NABZUE
224,20.984889574362132,2.1811111111111114,0.69686877029807,15744.0,7325.0,NABZUE
225,11.305043815742792,1.0083611111111113,0.31565833323182524,7785.0,2824.0,NABZUE
227,29.309208369538457,2.165638888888889,1.0082785319713699,19489.0,9230.0,NABZUE
228,23.204471730299936,2.231222222222222,1.0406430713837447,16184.0,8151.0,NABZUE
229,28.46586894686306,2.2090833333333335,0.983488466383763,18693.0,12254.0,NABZUE
231,42.826127142561944,3.5735277777777776,1.2517575288362026,30057.0,12220.0,NABZUE
235,16.22854298999238,1.0019444444444445,0.5765271038475648,10882.0,5890.0,NABZUE
236,44.090466976317245,3.373,1.4282209289405365,28734.0,17187.0,NABZUE
239,58.768208853785644,4.603888888888888,1.9282700137532962,39760.0,19328.0,INNEBI
240,49.47072179112115,3.7719444444444443,1.5193420087721778,33400.0,16095.0,INNEBI
246,43.24043094788868,3.1525,1.6190244235931406,27952.0,20908.0,INNEBI
249,31.472002198572984,2.9110555555555555,1.1335060824346472,24336.0,9232.0,NABZUE
250,36.638686702772794,2.747416666666667,1.2244237576690398,26701.0,12115.0,NABZUE
251,57.0810899224768,4.8645555555555555,1.790907728883358,40400.0,17081.0,NABZUE
252,26.674959489773627,2.2596111111111115,0.8680497266719217,19508.0,8270.0,NABZUE
253,44.405932698419186,3.1156111111111113,1.411270715288601,29814.0,14550.0,NABZUE
255,177.58007708372892,12.727194444444445,5.757305536695479,116655.0,67478.0,INNEBI
256,32.838967538863784,2.5073888888888893,1.0263067346431058,21720.0,11993.0,NABZUE
