MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
30,55.943867985012616,3.829388888888889,1.6050237473074493,36118.0,20482.0,CGI
34,102.63961776624862,8.155027777777779,3.066144150164212,73157.0,29645.0,CGI
38,68.64330761513789,4.271027777777778,1.798922796832252,41667.0,18564.0,CGI
41,19.139269818999406,1.1824444444444446,0.5220738456881817,11618.0,6386.0,CGI
180,35.740684940236385,2.708527777777778,1.1951893944497445,25145.0,13155.0,CGI
192,138.31521096343408,10.610722222222222,3.8040280207899135,91054.0,43276.0,CGI
195,59.85891700145556,4.0961388888888886,1.6258373376450688,37597.0,19914.0,CGI
