MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
73,3.2995700268164856,0.2446111111111111,0.12060354798915436,2212.0,1392.0,MMSAX
95,30.75320887532451,2.137277777777778,1.0359191107616663,19962.0,11380.0,MMWAA
96,48.132344738346724,3.6854166666666663,1.6371555550928754,34181.0,17089.0,MMSAX
103,42.107969639720594,2.931388888888889,1.3779692982835419,27576.0,16562.0,MMSAX
107,36.06349603712304,2.712138888888889,1.0213637237249455,23403.0,12863.0,MMSAX
110,55.97346185536089,4.125861111111111,1.940065206724138,35343.0,25158.0,MMSAX
113,109.55875329617952,7.717027777777778,3.586014232309995,70359.0,44559.0,MMSAX
116,27.927416537502904,2.028722222222222,0.9570559959955134,17984.0,12512.0,MMSAX
118,27.323713687286592,1.8460277777777778,0.8962691935485476,17789.0,10669.0,MMSAX
119,42.31146802794124,3.1210555555555555,1.379966061336328,27740.0,18097.0,MMSAX
122,48.061954603671516,3.591222222222222,1.518030849734436,31934.0,18117.0,MMSAX
127,42.5661132910388,3.0809444444444445,1.3600843520808403,28280.0,16796.0,MMSAX
128,16.867434255328565,1.2325833333333336,0.7954295995738436,11123.0,9454.0,MMSAX
130,15.560500825316149,1.2206388888888888,0.49162529722000514,10313.0,6329.0,MMSAX
133,127.05371971899409,8.852888888888888,4.090284344673833,81434.0,48020.0,MMSAX
135,30.464072609719743,2.473638888888889,0.9575261153757844,21555.0,10771.0,MMSAX
136,3.428915043884,0.21275,0.11184784971451672,2239.0,1328.0,MMSAX
138,18.2323165400738,1.4898333333333336,0.5983947903065424,13238.0,5235.0,MMSAX
139,37.780563187262885,2.987916666666667,1.0433191065826362,24509.0,11598.0,MMSAX
143,75.58770607427934,6.152083333333334,2.3016524664798075,51211.0,26360.0,MMSAX
144,28.081736529563543,2.2656666666666667,0.9405771307292718,19140.0,11215.0,MMSAX
150,8.481168534462784,0.5898888888888889,0.3244274341337086,5500.0,4820.0,MMSAX
152,27.574140542070257,1.7284722222222222,1.1194699014836083,16951.0,16951.0,MMSAX
153,16.766435807070966,1.2048611111111114,0.6660000049377353,10109.0,5412.0,MMSAX
155,29.386165253141456,2.5898888888888894,1.4319276261100844,18970.0,13622.0,MMSAX
156,38.15283836396499,2.794305555555556,1.1870157808642083,25273.0,14452.0,MMSAX
157,28.075211624111397,2.239777777777778,0.974047976876788,17904.0,12826.0,MMSAX
158,34.24910542527673,2.1814722222222223,1.3704494901961266,21777.0,17768.0,MMSAX
189,271.9860147897751,21.513777777777776,10.33180988734692,179658.0,110522.0,MMSAX
192,67.17647912665436,6.0336388888888886,2.8522997355865023,45481.0,37629.0,MMSAX
194,24.50424707245352,1.8696111111111111,0.9537827449877602,15930.0,10424.0,MMSAX
195,3.6472466840471744,0.19816666666666666,0.10729280294902742,2370.0,1191.0,MMSAX
197,0.02154491712095377,0.0019444444444444448,0.001084645888874032,14.0,14.0,MMSAX
200,5.07896595815002,0.35461111111111115,0.2172444803334259,2990.0,2990.0,MMSAX
201,4.693783120890872,0.32936111111111116,0.1979861214192076,3011.0,3011.0,MMSAX
203,0.8371113493783711,0.07119444444444446,0.041924056400107705,573.0,362.0,MMSAX
204,23.081143744193593,1.8892222222222224,1.015573445860232,14476.0,14476.0,MMSAX
205,7.268331683018905,0.6559722222222223,0.3346129227213936,4723.0,4723.0,MMSAX
207,12.192400581910597,0.6260833333333332,0.5738354403561036,7507.0,7507.0,MMSAX
211,34.73351515393231,3.3663888888888893,1.9090232877505744,24238.0,12119.0,MMSAX
212,14.025503509095014,0.9353333333333333,0.5347223819366201,9436.0,4621.0,MMSAX
217,55.74436891740218,4.531916666666667,1.8899924802295291,39169.0,20130.0,MMSAX
218,47.863267390010066,3.9953055555555554,1.59170447638134,34239.0,16169.0,MMSAX
220,33.63422223655826,2.4771944444444443,1.043996545558856,21809.0,12811.0,MMSAX
221,46.17659392558043,3.490472222222222,1.834805113871047,29655.0,26273.0,MMSAX
223,47.365251946161806,4.039055555555556,1.490849289804172,33472.0,16566.0,MMSAX
224,48.62905945023451,3.50775,1.6131373601135974,33085.0,17941.0,MMSAX
225,25.91438497971721,1.8226111111111112,0.8442318997235462,16718.0,10241.0,MMSAX
226,18.94820835803093,1.5506111111111112,0.8123236886588876,11970.0,11310.0,MMSAX
227,129.44626577303404,9.665527777777777,4.029998703426214,86627.0,44943.0,MMSAX
