MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
7,0.7241010168816985,0.04488888888888889,0.030201052040551003,432.0,432.0,NABZUE
8,190.14007033387693,15.700055555555556,5.410163044603836,130048.0,44620.0,REH
14,0.7568822044153695,0.043583333333333335,0.02345478653990544,523.0,221.0,NABZUE
16,1.3327070161961405,0.09372222222222222,0.06272135409388062,866.0,866.0,NABZUE
19,57.191104847016796,4.488027777777778,1.7281481722877772,38669.0,15448.0,NABZUE
20,28.4725437323637,2.287777777777778,0.7142982143202782,18674.0,3335.0,NABZUE
25,57.17321290779636,3.575888888888889,1.5208771587147183,33218.0,9618.0,REH
29,64.60639984382904,4.475305555555556,1.744433588730426,41423.0,22129.0,NABZUE
32,49.028764708681685,3.6895,1.4968010281568447,34146.0,12137.0,NABZUE
36,34.76422043163318,2.809277777777778,0.9661536967110065,22154.0,11776.0,NABZUE
44,61.34859916015513,4.761111111111111,1.579937682382057,40582.0,14064.0,NABZUE
45,58.579745828683166,4.557222222222222,1.7604461113842258,38860.0,18312.0,NABZUE
46,15.581473261102778,1.3317777777777777,0.4660794012895943,10656.0,4766.0,NABZUE
54,31.565716762398157,2.733722222222222,0.9835151020812111,23458.0,9485.0,NABZUE
55,19.22078886102469,1.8213333333333335,0.7189663140288226,13566.0,3818.0,NABZUE
66,46.937161983118216,3.637305555555556,1.2672476971190936,31831.0,12660.0,NABZUE
71,47.70502551895607,3.5359444444444446,1.424014941091838,32764.0,11826.0,NABZUE
74,38.68803230743065,3.0964722222222223,1.231795701641773,26965.0,10778.0,NABZUE
75,42.417068248180996,3.378166666666667,1.2980085491731528,29940.0,14266.0,NABZUE
76,258.0949468228174,23.60288888888889,8.141527444671173,192944.0,57718.0,REH
77,1638.1739270220407,134.54661111111113,50.207269288842106,1163084.0,377949.0,REH
80,6.715512963769111,0.43555555555555553,0.1871728319687088,4208.0,2031.0,NABZUE
83,10.250710955653778,0.6963611111111111,0.36884101915159656,6913.0,3352.0,NABZUE
84,46.41021609510321,3.7246388888888893,1.7138087483377713,30953.0,8339.0,REH
85,34.5784050405207,2.719472222222222,1.0074780295154817,23847.0,7591.0,NABZUE
86,2.235633846153846,0.10783333333333331,0.09613686363304569,1294.0,1294.0,REH
87,9.260430769230771,0.45266666666666655,0.30444329444931173,5360.0,3170.0,REH
92,31.833010858321018,2.1127777777777776,1.108665437612744,19994.0,3783.0,REH
96,10.631287188471623,0.8554444444444445,0.2771868909816063,7308.0,2116.0,NABZUE
103,13.51624994427818,1.2714722222222223,0.4385791168416408,10227.0,4286.0,NABZUE
104,50.75753402076412,3.9415,1.4341677064056901,35974.0,11250.0,NABZUE
105,7.930979811546831,0.41291666666666665,0.3277102880673273,4955.0,4955.0,REH
106,26.931267692307692,2.165,0.6150048440810827,15588.0,2598.0,REH
107,43.39271298503645,3.518388888888889,0.9143253222088911,25338.0,3945.0,REH
109,15.876125283536163,0.9999722222222222,0.7543334068394328,10959.0,2955.0,REH
110,23.56572307692308,1.1366666666666663,0.616765387767233,13640.0,2884.0,REH
112,22.761391257727333,1.3670833333333334,0.9968896009590849,13931.0,13365.0,NABZUE
115,3.730348507227996,0.33666666666666667,0.08355991771696407,2424.0,404.0,NABZUE
116,6.168001987198766,0.11133333333333334,0.25061344187847046,4008.0,668.0,NABZUE
118,6.609672788178318,0.5965277777777779,0.19883582095251703,4295.0,1892.0,REH
119,2.1557733634124734,0.20597222222222222,0.09117665753822866,1483.0,756.0,REH
120,1.3579661538461538,0.0655,0.037564355547893044,786.0,393.0,NABZUE
121,13.294828099458279,0.7592777777777778,0.4292511220603829,8646.0,3782.0,NABZUE
124,8.318902163668401,0.612638888888889,0.3706360522584879,5777.0,3051.0,NABZUE
