MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
0,34.030814129823796,2.704194444444444,1.072776465069977,22707.0,13629.0,MAS
3,46.513399800346605,4.117277777777779,1.4253003114136915,33628.0,14493.0,MAS
11,31.15356297627471,2.068,1.1536902369963553,20868.0,13050.0,MAS
14,71.32545379561947,5.069111111111111,2.0620430594520562,46058.0,25078.0,MAS
17,50.591992757039925,3.69575,1.3853028450454792,33207.0,16856.0,MAS
18,33.683021356929814,2.52975,1.0591671567757681,22593.0,13823.0,MAS
23,67.43337541551968,4.896888888888888,2.2028968133283513,44128.0,31377.0,MAS
26,107.67136423700791,7.555777777777777,3.391263225688953,70704.0,42507.0,MAS
29,41.81500491857329,2.7255833333333337,1.2966153664855211,27731.0,13937.0,MAS
33,91.03983728220513,6.591805555555555,2.9028683934995017,60559.0,37855.0,MAS
36,68.65362953167147,5.368777777777778,1.9952749100120821,45930.0,23804.0,MAS
100,0.8016895677312422,0.07527777777777778,0.027131468907926573,542.0,338.0,MAS
114,0.4262815744645853,0.02308333333333333,0.01749735983266201,277.0,277.0,MAS
118,5.770937682415524,0.3943888888888889,0.22524657269729997,3796.0,3165.0,MAS
120,4.364862053522532,0.33411111111111114,0.16194297125067367,2916.0,2133.0,MAS
123,13.507391868703701,1.0278055555555554,0.39815350574225383,8803.0,5799.0,MAS
126,16.21180004702293,1.3878333333333333,0.4552333129214617,11688.0,4101.0,MAS
127,12.740022245283226,0.9750277777777778,0.4330430866182556,8483.0,5632.0,MAS
129,25.266461173495856,2.169888888888889,0.7936188061078396,17134.0,10435.0,MAS
130,16.90844896049161,1.3138333333333334,0.5908333119488234,11316.0,7086.0,MAS
131,37.852108982951556,2.651194444444444,1.0926121318248974,24503.0,13323.0,MAS
132,21.96905584949073,1.8029444444444445,0.7487228566542705,13930.0,10864.0,MAS
134,11.749433636441239,0.8828055555555555,0.3868254242067615,7967.0,3140.0,MAS
137,4.181267155493194,0.27924999999999994,0.1641084108341447,2775.0,2003.0,MAS
138,8.488972000464273,0.599111111111111,0.29675304099206673,5320.0,4120.0,MAS
139,17.633630790892674,1.250888888888889,0.5884912077388254,11022.0,9368.0,MAS
143,36.895296170900195,2.8450277777777777,1.1673887646031273,24047.0,13708.0,MAS
162,71.42680353920017,5.002222222222223,2.171784780057088,45454.0,29072.0,MAS
163,29.896917317821096,2.4950833333333335,0.9664015573331718,20983.0,11148.0,MAS
170,24.85876674389331,1.886111111111111,0.7432337857323751,17000.0,8368.0,MAS
172,18.174563085491297,1.5037777777777779,0.5536095999943011,12184.0,6445.0,MAS
173,51.17510413708821,3.4678055555555556,1.6978048446358385,33981.0,22777.0,MAS
176,113.10561909165285,8.50538888888889,3.575861612121465,73040.0,47403.0,MAS
177,35.14706268356186,2.5008888888888885,1.5503380063121537,24220.0,10963.0,MAS
178,43.7557384416375,3.3439444444444444,1.410014111166571,29224.0,20067.0,MAS
181,160.65282012001066,11.496527777777777,5.09946146640034,105515.0,64626.0,MAS
