MV_osmid,HBLD_kW/K,CBLD_MWh/K,PRT_MW,GEBF_m2,GAREA_m2,T_PROFILE
17,5.9980861137338835,0.479388888888889,0.1581861912264495,3938.0,1631.0,KOP
21,29.14434421021304,2.35975,0.7779652269407975,19331.0,8561.0,KOP
24,10.394670235766668,0.8536944444444444,0.34736977942334246,6723.0,5108.0,KOP
27,72.16718029037534,5.335277777777778,2.065386310669799,47668.0,24236.0,KOP
31,55.412575418653766,3.8436111111111115,1.5795062873789198,35678.0,20247.0,KOP
41,54.383221647312396,3.9528055555555555,1.5266198027827067,36369.0,16884.0,KOP
44,7.260386604377187,0.4885,0.17883927315803902,4436.0,2329.0,KOP
62,3.446531594533729,0.205,0.1469202234722574,2128.0,2010.0,KOP
75,52.93464591405389,4.003638888888889,1.5482084596274206,35649.0,17499.0,KOP
124,14.774117780910492,1.0485833333333332,0.43945454466991185,9277.0,4600.0,KOP
127,12.503204110410323,1.0977222222222223,0.518833068404196,8082.0,6885.0,KOP
128,39.746249743308844,3.0343611111111115,1.0404010299410242,25617.0,12771.0,KOP
129,11.309937827189357,0.8343333333333334,0.41438212884121267,7434.0,5046.0,KOP
130,19.880216972587764,1.422777777777778,0.6483266744187225,13102.0,8421.0,KOP
131,15.258299650642554,1.1465555555555556,0.5357228211744031,10136.0,7478.0,KOP
136,11.651812223841501,0.9155277777777778,0.3084966008936557,7639.0,3911.0,KOP
147,37.151768312080016,3.079277777777778,0.9906346261467102,25184.0,8370.0,KOP
168,15.3013028578939,1.2546666666666668,0.7535824766234678,11442.0,7807.0,KOP
174,55.28869645478448,3.672888888888889,1.5937833355682085,35366.0,19702.0,KOP
175,55.00884009525271,4.024055555555556,1.514338475628309,36334.0,17861.0,KOP
